csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,poseidon_w16_d2,16,16,16by16by8,21,[16,16,8,1024],408304,12.003187,108.704,174716.269174,105.91,-5.94,6556.86,6.32
csv,poseidon_w16_d2,16,16,16by16by8,22,[16,16,8,2048],506608,24.564301,430.718,170747.946677,149.53,-4.15,35890.67,4.33
csv,poseidon_w16_d2,16,16,16by16by8,23,[16,16,8,4096],703216,51.520503,1717.950,162820.770069,233.54,-1.14,67634.72,1.15
csv,poseidon_w16_d2,16,16,16by16by8,24,[16,16,8,8192],1096432,114.400716,6944.908,146653.067670,387.77,6.79,89339.09,-6.36
csv,poseidon_w16_d2,16,16,16by16by8,25,[16,16,8,16384],1932784,272.885951,27884.396,122961.376074,600.32,17.86,98587.20,-15.16
csv,regmach_w8_d2,8,8,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],137040,0.403534,0.511,162405.318320,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],163792,0.795209,0.586,164827.160164,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],165648,1.581826,0.613,165722.377512,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],167696,3.162109,0.637,165803.290126,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],170128,6.364945,0.673,164742.354780,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],198288,12.821234,0.860,163568.648557,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],203024,25.778808,1.193,162703.565386,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],210832,52.352911,2.552,160231.929287,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],224784,107.578390,7.727,155953.402608,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,25,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,512],275984,232.463680,28.304,144342.685902,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,12,[16,16,16],161360,0.024784,0.632,165267.634714,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,13,[16,16,16,2],210736,0.050009,0.823,163810.923561,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,14,[16,16,16,4],210928,0.094631,0.712,173135.578208,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,15,[16,16,16,8],211312,0.185630,0.722,176523.586887,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,16by16by16,16,[16,16,16,16],212080,0.380227,0.750,172360.290099,54.76,-5.78,46.95,6.13
csv,regmach_w8_d2,8,8,16by16by16,17,[16,16,16,32],263536,0.739321,0.935,177286.947245,60.90,-7.03,59.63,7.56
csv,regmach_w8_d2,8,8,16by16by16,18,[16,16,16,64],266608,1.485253,1.293,176497.925673,60.95,-6.11,110.75,6.50
csv,regmach_w8_d2,8,8,16by16by16,19,[16,16,16,128],272752,2.940034,2.616,178327.196995,62.65,-7.02,310.92,7.55
csv,regmach_w8_d2,8,8,16by16by16,20,[16,16,16,256],285040,5.906372,7.840,177533.016394,67.54,-7.20,1064.10,7.76
csv,regmach_w8_d2,8,8,16by16by16,21,[16,16,16,512],359536,11.834139,28.142,177212.052283,81.32,-7.70,3170.63,8.34
csv,regmach_w8_d2,8,8,16by16by16,22,[16,16,16,1024],408688,23.756007,109.002,176557.615134,101.30,-7.85,9035.22,8.51
csv,regmach_w8_d2,8,8,16by16by16,23,[16,16,16,2048],506992,48.155649,434.033,174197.796741,140.47,-8.02,16905.36,8.72
csv,regmach_w8_d2,8,8,16by16by16,24,[16,16,16,4096],703600,100.723074,1733.090,166567.751343,213.01,-6.37,22330.23,6.81
csv,regmach_w8_d2,8,8,16by16by16,25,[16,16,16,8192],1146736,219.860275,6905.432,152617.074379,315.51,-5.42,24297.34,5.73
csv,regmach_w8_d2,8,8,32by16by8,12,[32,16,8],241232,0.033124,0.814,123658.119956,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by16by8,13,[32,16,8,2],266032,0.065052,0.869,125929.783232,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,32by16by8,14,[32,16,8,4],266224,0.129476,0.898,126540.826099,0.00,0.00,0.00,0.00
